FACID|EXTID|FACNM|FACADD1|FACADD2|FACCITY|FACST|FACZIP|VENNBR|DCNBR|STATUS
ACMEPU1810180011| |ACMEPURELY ELIZABETH DOOR P24|18101 E COLFAX AVE| |AURORA|CO|80011| | |A
ACME1810180010| |ACME DIST CENTER|18101 E COFAX AVE| |AURORA|CO|80010| | |A
ACME1810180011| |ACME DISTRIBUTION|18101 E COLFAX AVE| |AURORA|CO|80011| | |A
ACME270044305| |ACME HQ WHSE       BTST|2700 GILCHRIST RD| |AKRON|OH|44305| | |A
ACME270044309| |ACME HQ WHSE       BTST|2700 GILCHRIST RD| |AKRON|OH|44309| | |A
ACME3011222| |ACME SMOKED FISH|30 GEM STREET| |BROOKLYN|NY|11222| | |A
ACME315598225| |ACME VALLEY ICE CREAM|3155 MERCER AVE| |BELLINGHAM|WA|98225| | |A
ACME46017011| |ACME DISTRIBUTION|460 STERLING STREET|DOOR N20|CAMP HILL|PA|17011| | |A
ACME50017517| |ACME MARKET SFW WAREHOUSE BTST|500 S MUDDY CREEK RD| |DENVER|PA|17517| | |A
ACME910180640| |ACME DISTRIBUTION CENTERS INC|9101 EAST 89TH AVENUE|MARIANNE_HEFFELFINGER@ACMD.COM|HENDERSON|CO|80640| | |A
ACTION12084406| |ACTION LABS|120 NORTH  JORGENSEN ST BLDG 2| |OGDEN|UT|84406| | |A
ACTION150050317| |ACTION WAREHOUSE|1500 DELWARE|ATTN: KIM YOUNG|DES MOINES|IA|50317| | |A
ACTION205085034| |ACTION WINE|2050 S 16TH ST| |PHOENIX|AZ|85034| | |A
ACTIPH1620677032| |ACTIPH WATER|16206 ALDINE WESTFIELD RD|VICKI.ANDRUS@POLARIS-LOGISTICS|HOUSTON|TX|77032| | |A
ACTIVE24594523| |ACTIVE FORMULATIONS INC|245 GOLF LINKS STREET| |PLEASANT HILL|CA|94523| | |A
AC166524012| |AC BOOKS   BTST|1665 SEIBEL DRIVE NE| |ROANOKE|VA|24012| | |A
AC633035040| |AC LEGG INC|6330 US31|ATTN BRANDY FIRSTBROOK|CALERA|AL|35040| | |A
AC9994005| |AC CALDERONI  SONS|99 NORTH HILL DRIVE| |BRISBANE|CA|94005| | |A
ADAMSO710190621| |ADAMSONS TRANSPORTATION INC|7101 CATE DR| |BUENA PARK|CA|90621| | |A
ADAMS1117791730| |ADAMS AND SONS TRANSPORTATION|11177 WHITE BIRCH DRIVE|CONTACT: TREVER ADAMS|RANCHO CUCAMONGA|CA|91730| | |A
ADAMS124012550| |ADAMS FAIRACRE FARMSNEWB BTST|1240 NY-300| |NEWBURGH|NY|12550| | |A
ADAMS191590007| |ADAMS  BROOKS|1915 SOUTH HOOVER STREET|CUST.SERV@ADAMS-BROOKS.COM|LOS ANGELES|CA|90007| | |A
ADAMS211034471| |ADAMS RIB RUBB LLC|2110 SW 7TH AVENUE UNIT 104| |OCALA|FL|34471| | |A
ADAMS370177018| |ADAMS WAREHOUSE  DELIVERY|3701 YALE STREET|ATTN: BIANCA SOLIS|HOUSTON|TX|77018| | |A
ADAMS370177041| |ADAMS WHSE|3701 YALE|CONTACT:  PATRICIA|HOUSTON|TX|77041| | |A
ADAMS70133823| |ADAMS COLD STORAGE|701 MCKEAN STREET| |AUBURNDALE|FL|33823| | |A
ADAMS76512603| |ADAMS FAIRACRE FARMSPOUG BTST|765 DUTCHESS TPKE| |POUGHKEEPSIE|NY|12603| | |A
ADF808820| |ADF FOODS USA LTD|8 PROGRESS ST|SAROJA@ADF-FOODS.COM|EDISON|NJ|08820| | |A
ADH21510920| |ADH HEALTH PRODUCTS INC|215 N RT 303|ASHWIN ADVANI|CONGERS|NY|10920| | |A
ADIRON70112302| |ADIRONDACK BEVERAGES|701 CORPORATIONS PARK| |SCOTIA|NY|12302| | |A
ADM20090086| |ADM WAREHOUSE|200 LIBERTY WAY| |CRANBURY|CA|90086| | |A
ADM369190000| |ADM WAREHOUSE|3691 NOAKES STREET| |LOS ANGELES|CA|90000| | |A
ADM369190023| |ADM WAREHOUSE|3691 NOAKES STREET|CONTACT: WENDY PERRY|LOS ANGELES|CA|90023| | |A
ADM369190086| |ADM WAREHOUSE|3691 NOAKES STREET| |LOS ANGELES|CA|90086| | |A
ADOBE0900681324| |ADOBE MILLING COMPANY|09006 E HIGHWAY 666|ADOBEMILLING@GMAIL.COM|DOVE CREEK|CO|81324| | |A
ADRIENADRIE93111| |ADRIENNES GOURMET FOODS|ADRIENNES GOURMET FOODS|849 WARD DR|SANTA BARBARA|CA|93111| | |A
ADRIEN84993111| |ADRIENNES GOURMET FOODS|849 WARD DRIVE| |SANTA BARBARA|CA|93111| | |A
ADVANC10095336| |ADVANCE PKG       SH PU BAY|100 SPRINKLES AVENUE|KAREN X181|MANTECA|CA|95336| | |A
ADVANC1051007647| |ADVANCED DISTRIBUTION SYSTEMS|105107 STONEHURST COURT| |NORTHVALE|NJ|07647| | |A
ADVANC182095376| |ADVANCED PACKING|1820 MCARTHUR DRIVE| |TRACY|CA|95376| | |A
ADVANC212154729| |ADVANCED FOOD PRODUCTS|2121 OLSON DRIVE| |CHIPPEWA FALLS|WI|54729| | |A
ADVANC24102048| |ADVANCED WAREHOUSES|241 FRANCIS AVE|JUSTIN@ADVANCEDWAREHOUSES.COM|MANSFIELD|MA|02048| | |A
ADVANC40108817| |ADVANCED WAREHOUSE SYSTEMS|401 MILL ROAD| |EDISON|NJ|08817| | |A
ADVANC58202896| |ADVANCED DISTRIBUTION  WHSE|582 GREAT ROAD|TIM@ADW-INC.COM|NORTH SMITHFIELD|RI|02896| | |A
ADVANC60095336| |ADVANCED PACKAGING  DIST|600 SPRECKELS AVE| EXT 172 OR 171|MANTECA|CA|95336| | |A
ADVANC880064161| |ADVANCED LOGISTICS  FULFILLME|8800 NE UNDERGROUND DR| |KANSAS CITY|MO|64161| | |A
ADVANC90093291| |ADVANCED FOOD PRODUCTS|900 N PLAZA DR| |VISALIA|CA|93291| | |A
ADVANT1207089118| |ADVANTAGE WAREHOUSE|1207015 CORPORATE PLAZA DR| |LAS VEGAS|NV|89118| | |A
ADVANT1402066215| |ADVANTAGE FULFILLMENT SOLUTION|14020 MARSHALL DRIVE| |LENEXA|KS|66215| | |A
ADVANT1600066219| |ADVANTAGE FULFILLMENT|16000 W 116TH ST| |LENEXA|KS|66219| | |A
ADVANT50161348| |ADVANTAGE LOGISTICS MWMRDC|501 NORTH MALLICK ROAD| |OGLESBY|IL|61348| | |A
ADVANT701589118| |ADVANTAGE WAREHOUSE|7015 CORPORATE PLAZA DRIVE|#120|LAS VEGAS|NV|89118| | |A
ADVANT705089118| |ADVANTAGE WRHSNG  LOGISTICS|7050 LINDELL ROAD 160| |LAS VEGAS|NV|89118| | |A
ADVENT41532771| |ADVENTURE BAKERY|415 SPECIALTY PT| |SANFORD|FL|32771| | |A
ADW20017001| |ADW INC|200 LIBERTY WAY| |CRANBURY|PA|17001| | |A
ADW440817001| |ADW INC|4408 INDUSTRIAL PARK ROAD| |CAMP HILL|PA|17001| | |A
AD51201610| |AD COLD STORAGE WAREHOUSE|512 SOUTH BRIDGE STREET| |WORCESTER|MA|01610| | |A
AD51201613| |AD COLD STORAGE|512 SOUTHBRIDGE STREET| |WORCESTER|MA|01613| | |A
AFIA11176537| |AFIA LLC|111 TOWN CENTER BLVD|SUPPORT@AFIAFOODS.COM|JARRELL|TX|76537| | |A
AFI2005283607| |AFI PACKAGING INC|20052 MONTE WAY|EXT. 102|CALDWELL|ID|83607| | |A
AFP2243098032| |AFP ADVANCED FOOD PRODUCTS|22430 76TH AVE| |KENT|WA|98032| | |A
AGELES152133139| |AGELESS FOUNDATION|1521 ALTON RD|DEPT 512|MIAMI BEACH|FL|33139| | |A
AGRI22052162| |AGRI STAR MEAT AND POULTRY LLC|220 WEST ST| |POSTVILLE|IA|52162| | |A
AGRO430030340| |AGRO MERCHANTS ATLANTA NA|4300 PLEASANTDALE RD|KINGSHAWAIIAN.SCHEDULE@AGROMER|ATLANTA|GA|30340| | |A
AGRO86094621| |AGRO MERCHANTS GROUP|860 81ST AVE| |OAKLAND|CA|94621| | |A
AGRUSA413090023| |AGRUSARADEX|4130 NOAKES STREET| |LOS ANGELES| |90023| | |A
AG563060634| |AG FRESH MARKET BTST|5630 W BELMONT| |CHICAGO|IL|60634| | |A
AHOLD114917013| |AHOLD USA BTST|1149 HARRISBURG PIKE| |CARLISLE|PA|17013| | |A
AIELLO112202| |AIELLO PRODUCE|1 RENSSELAER ST|JOE OR PHIL|ALBANY|NY|12202| | |A
AILEEN23564116| |AILEEN QUIRK|235 W 12TH AVENUE| |NORTH KANSAS CITY|MO|64116| | |A
AIM7808817| |AIM LOGISTICS|78 SAW MILL POND RD|CHRISIN GENEVIEVE|EDISON|NJ|08817| | |A
AIRPOR53087121| |AIRPORT WAREHOUSE|530 AIRPORT DR NW|WAREHOUSEABQ@FLAGSHIPFOOD.COM|ALBUQUERQUE|NM|87121| | |A
AIRVAN65183716| |AIRVAN HAPPY DAY BRANDS|651 E GOWEN RD| |BOISE|ID|83716| | |A
AIYA38690510| |AIYA AMERICA|386 BEECH AVENUE|UNIT B-3|TORRANCE|CA|90510| | |A
AJ904077078| |AJ LOGISTICS|9040 RAILWOOD|CONTACT: ALEX BRITTON|HOUSTON|TX|77078| | |A
AKD90160191| |AKD INC|901 MITTEL DRIVE|ANASTASIA@GTHAMERICA.COM|WOOD DALE|IL|60191| | |A
AKD99092408| |AKD INC|990 E MILL ST|K.DEW@PACMTNLOG.COM       X100|SAN BERNARDINO|CA|92408| | |A
AKMAK8993657| |AKMAK BAKERIES|89 ACADEMY AVE| |SANGER|CA|93657| | |A
AK8993657| |AK MAK|89 ACADEMY AVE| |SANGER|CA|93657| | |A
ALABAM22135555| |ALABAMA SUNSHINE LLC|221 COLUMBUS ST EAST|JULIE MADISON|FAYETTE|AL|35555| | |A
ALAMAN153527216| |ALAMANCE FOODS INC DC3|1535 HWY 62 N RAUHUT ST| |BURLINGTON|NC|27216| | |A
ALBANE544146410| |ALBANESE CONFECTIONARY EXT 353|5441 EAST LINCOLN HIGHWAY| |MERRILLVILLE|IN|46410| | |A
ALBANE647146342| |ALBANESE CONFECTIONERY GROUP|6471 NORTHWIND PARKWAY|MARILYNR@ALBANESECONFECTIONERY|HOBART|IN|46342| | |A
ALBA36008817| |ALBA WINE  SPIRITS WHSNGDIST|360 MILL ROAD|RALICEA@ALBAWSD.COM|EDISON|NJ|08817| | |A
ALBERT349983642| |ALBERTSONS 3195 BTST|3499 E FAIRVIEW AVENUE| |MERIDIAN|ID|83642| | |A
ALBERT352098047| |ALBERTSONS DISTRIBUTION CENTER|3520 PACIFIC AVE SO|JOHN.VOLKIRCH@SAFEWAY.COM|AUBURN|WA|98047| | |A
ALBERT74376262| |ALBERTSONS DISTRIBUTION CENTER|743 HENRIETTA CREEK ROAD|RAY.FENTON@SAFEWAY.COM|ROANOKE|TX|76262| | |A
ALBERT910092618| |ALBERTSONS DISTRIBUTION CENTER|9100 JERONIMO|TIM MOYA|IRVINE|CA|92618| | |A
ALBROS187215241| |ALBROS LP|1872 TILTON DRIVE|UPPER ST. CLAIRE|PITTSBURGH|PA|15241| | |A
ALCHEM112378212| |ALCHEMY WAREHOUSE|1123 NORTH FLORES| |SAN ANTONIO|TX|78212| | |A
ALCOAALCOA92880| |ALCOA STORAGE 575|ALCOA CIRCLE|VANESSA@ALCOASTORAGE.COM  X802|CORONA|CA|92880| | |A
ALCOA57592878| |ALCOA STORAGE|575 ALCOA CIRCLE SUITE C|VANESSAV@ALCOASTORAGE.COM|CORONA|CA|92878| | |A
ALCOA57592880| |ALCOA STORAGE LLC|575 ALCOA CIRCLE      EXT 804|CBLOUNT@ALCOASTORAGE.COM|CORONA|CA|92880| | |A
ALDI120060510| |ALDI INC BTST|1200 NORTH KIRK ROAD| |BATAVIA|IL|60510| | |A
ALEF102660060| |ALEF SAUSAGE INC|1026 CAMPUS DRIVE| |MUNDELEIN|IL|60060| | |A
ALEIAS1206405| |ALEIAS GLUTEN FREE FOODS LLC|12 SYCAMORE WAY|JOSH WELLS|BRANFORD|CT|06405| | |A
ALEIAS13306512| |ALEIAS SHIPPING WAREHOUSE|133 COMMERCE STREET|LOGISTICS@ALEIAS.COM|EAST HAVEN|CT|06512| | |A
ALEXAN14095448| |ALEXANDER VALLEY GOURMET|140  B GROVE STREET|MAYRA MADRIGAL|HEALDSBURG|CA|95448| | |A
ALEXIA120007753| |ALEXIANGROEZINGER PROVISIONS|1200 7TH AVE|ANNMARIE@ALEXIANPATE.COM|NEPTUNE|NJ|07753| | |A
ALE2540391| |ALE 8 ONE BOTTLING CO INC|25 CAROL ROAD| |WINCHESTER|KY|40391| | |A
ALFALF165180302| |ALFALFAS MARKET INC BTST|1651 BROADWAY| |BOULDER|CO|80302| | |A
ALFALF78580027| |ALFALFAS MARKETLOUISVLE BTST|785 E SOUTH BOULDER ROAD| |LOUISVILLE|CO|80027| | |A
ALGRAPO33022| |ALGRA CRIN CORP|PO BOX 221236| |HOLLYWOOD|FL|33022| | |A
ALICIA1650064050| |ALICIA WHITE  GREG SHROEDER|16500 E TRUMAN RD| |INDEPENDENCE|MO|64050| | |A
ALIVE293594608| |ALIVE  RADIANT FOODS INC|2935 ADELINE STREET| |OAKLAND|CA|94608| | |A
ALKAZO20007601| |ALKAZONE GLOBAL INC|200 S NEWMAN ST UNIT 1|TTL@ALKAZONE.COM|HACKENSACK|NJ|07601| | |A
ALLALL92029| |ALL ONE GOD FAITH|ALL ONE GOD FAITH|751 NORTH CITRACADO PKWY|ESCONDIDO|CA|92029| | |A
ALLEGH1615201| |ALLEGHENY COLD STORAGET|16 57TH STREET|INFO@ALLEGHENYCOLDSTORAGE.COM|PITTSBURGH|PA|15201| | |A
ALLEGRALALL38242| |ALLEGRO FINE FOODS  PML DIST|ALALLEGROMARINADECOM|285 PLLUMLEY DRIVE|PARIS|TN|38242| | |A
ALLEGR159538242| |ALLEGRO FINE FOODS INC|1595 HIGHWAY 218 BYPASS| |PARIS|TN|38242| | |A
ALLEGR19938242| |ALLEGRO FINE FOODS|199 PLUMLEY DRIVE|CONTACT AL EXT 213|PARIS|TN|38242| | |A
ALLEGR28538242| |ALLEGRO FINE FOODS|285 PLUMLEY DRIVE|AL@ALLEGROMARINADE.COM|PARIS|TN|38242| | |A
ALLEGR30738242| |ALLEGRO FINE FOODS|307 FAIRVIEW ST| |PARIS|TN|38242| | |A
ALLENS6072714| |ALLENS SUPERMKT 2603  BTST|60 SUGAR CREEK CENTER| |BELLA VISTA|AR|72714| | |A
ALLENS909648170| |ALLENS NATURALLY|9096 GENERAL DR| |PLYMOUTH|MI|48170| | |A
ALLENT12519512| |ALLENTOWN REFRIGERATED TERMINA|125 SENECA TRAIL|DONNA CUMMINGS|BOYERTOWN|PA|19512| | |A
ALLENT40018031| |ALLENTOWN 1415 DSC LOGISTICS|400 NESTLE WAY| |BREINIGSVILLE|PA|18031| | |A
ALLEN110018106| |ALLEN DISTRIBUTION|1100 MILL ROAD|SUNOPTA@ALLENDISTRIBUTION.COM|ALLENTOWN|PA|18106| | |A
ALLEN122517055| |ALLEN DISTRIBUTION|1225 SOUTH MARKET STREET|CONTACT- MIKE JOHNSTON|MECHANICSBURG|PA|17055| | |A
ALLEN15017055| |ALLEN DISTRIBUTION WAREHOUSE|150 ALLEN DIST DR BLDG 19|THEINBAUGH@ALLENDISTRIBUTION.C|MECHANICSBURG|PA|17055| | |A
ALLEN170017013| |ALLEN DISTRIBUTION|1700 SHEARER DRIVE|EXT:1100|CARLISLE|PA|17013| | |A
ALLEN30517201| |ALLEN DISTRIBUTORS|305 COMMERCE DR| |CHAMBERSBURG|PA|17201| | |A
ALLEN3417050| |ALLEN DISTRIBUTION|34 DAUPHIN DRIVE| |MECHANICSBURG|PA|17050| | |A
ALLEN425076262| |ALLEN DISTRIBUTION  NORTHLAKE|4250 DALE EARNHARDT WAY|KNOUSETXAPPT@ALLENDISTRIBUTION|ROANOKE|TX|76262| | |A
ALLEN44095206| |ALLEN DISTRIBUTION|440 INDUSTRIAL BLVD|STOCKTON@ALLENDISTRIBUTION.COM|STOCKTON|CA|95206| | |A
ALLEN465095215| |ALLEN DISTRIBUTION|4650 NEWCASTLE ST  SUITE 200|SCHEDULING@NIAGARAWATER.COM|STOCKTON|CA|95215| | |A
ALLEN480176177| |ALLEN DISTRIBUTION  NORTHLAKE|4801 WESTPORT PARKWAY     COM|KNOUSETXAPPT@ALLENDISTRIBUTION|FORT WORTH|TX|76177| | |A
ALLEN59917013| |ALLEN DISTRIBUTION CENTER|599 ALEXANDER SPRING RD|CONTACT: KELLY EXT 1100|CARLISLE|PA|17013| | |A
ALLEN60017013| |ALLEN DISTRIBUTION|600 ALLEN ROAD| |CARLISLE|PA|17013| | |A
ALLEN60017015| |ALLEN DISTRIBUTION|600 ALLEN ROAD|BRIANNA CARR|CARLISLE|PA|17015| | |A
ALLEN66017015| |ALLEN DISTRIBUTION|660 ALLEN ROAD  BLDG  2|LKNISELY@ALLENDISTRIBUTION.COM|CARLISLE|PA|17015| | |A
ALLEN67017013| |ALLEN DISTRIBUTION|670 ALLEN ROAD|CONTACT: BILL FICKERS|CARLISLE|PA|17013| | |A
ALLEN67017015| |ALLEN DISTRIBUTION|670 ALLEN ROAD|LKNISELY@ALLENDISTRIBUTION.COM|CARLISLE|PA|17015| | |A
ALLEN67017050| |ALLEN DISTRIBUTION|670 ALLEN ROAD|KINGARTHUR@ALLENDISTRIBUTION.C|MECHANICSBURG|PA|17050| | |A
ALLEN67017055| |ALLEN DISTRIBUTION|670 ALLEN ROAD|THEINBAUGH@ALLENDISTRIBUTION.C|MECHANICSBURG|PA|17055| | |A
ALLEN7517013| |ALLEN DISTRIBUTION BUILDING 15|75 LOGISTICS DRIVE|DTRAUTMAN@ALLENDISTRIBUTION.CO|CARLISLE|PA|17013| | |A
ALLEN80091764| |ALLEN DISTRIBUTION|800 BARRINGTON AVE|ALLEN3BA@ALLENDISTRIBUTION.COM|ONTARIO|CA|91764| | |A
